show_id,type,title,release_year,duration
s1,Movie,Dick Johnson Is Dead,2020,90
s2,TV Show,Blood & Water,2021,2
s3,TV Show,Ganglands,2021,1
s4,TV Show,Jailbirds New Orleans,2021,1
s5,TV Show,Kota Factory,2021,2
s6,TV Show,Midnight Mass,2021,1
s7,Movie,My Little Pony: A New Generation,2021,91
s8,Movie,Sankofa,1993,125
s9,TV Show,The Great British Baking Show,2021,9
s10,Movie,The Starling,2021,104
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,1
s12,TV Show,Bangkok Breaking,2021,1
s13,Movie,Je Suis Karl,2021,127
s14,Movie,Confessions of an Invisible Girl,2021,91
s15,TV Show,Crime Stories: India Detectives,2021,1
s16,TV Show,Dear White People,2021,4
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,67
s18,TV Show,Falsa identidad,2020,2
s19,Movie,Intrusion,2021,94
s20,TV Show,Jaguar,2021,1
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,1
s22,TV Show,Resurrection: Ertugrul,2018,5
s23,Movie,Avvai Shanmughi,1996,161
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,61
s25,Movie,Jeans,1998,166
s26,TV Show,Love on the Spectrum,2021,2
s27,Movie,sara Kanavu,1997,147
s28,Movie,Grown Ups,2010,103
s29,Movie,Dark Skies,2013,97
s30,Movie,Paranoia,2013,106
s31,Movie,Ankahi Kahaniya,2021,111
s32,TV Show,Chicago Party Aunt,2021,1
s33,TV Show,Sex Education,2020,3
s34,TV Show,Squid Game,2021,1
s35,TV Show,Tayo and Little Wizards,2020,1
s36,Movie,The Father Who Moves Mountains,2021,110
s37,Movie,The Stronghold,2021,105
s38,TV Show,Angry Birds,2018,1
s39,Movie,Birth of the Dragon,2017,96
s40,TV Show,Chhota Bheem,2021,3
s41,TV Show,He-Man and the Masters of the Universe,2021,1
s42,Movie,Jaws,1975,124
s43,Movie,Jaws 2,1978,116
s44,Movie,Jaws 3,1983,98
s45,Movie,Jaws: The Revenge,1987,91
s46,Movie,My Heroes Were Cowboys,2021,23
s47,Movie,Safe House,2012,115
s48,TV Show,The Smart Money Woman,2020,1
s49,Movie,Training Day,2001,122
s50,TV Show,Castle and Castle,2021,2
s51,TV Show,Dharmakshetra,2014,1
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,99
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,99
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,88
s55,Movie,InuYasha the Movie: Affections Touching Across Time,2001,100
s56,TV Show,Nailed It,2021,6
s57,Movie,Naruto Shippuden the Movie: Blood Prison,2011,102
s58,Movie,Naruto Shippûden the Movie: Bonds,2008,93
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,2009,96
s60,Movie,Naruto Shippuden: The Movie,2007,95
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,85
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,97
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,95
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,83
s65,Movie,Nightbooks,2021,103
s66,TV Show,Numberblocks,2021,6
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,1
s68,TV Show,Saved by the Bell,1994,9
s69,Movie,Schumacher,2021,113
s70,TV Show,Stories by Rabindranath Tagore,2015,1
s71,TV Show,Too Hot To Handle: Latino,2021,1
s72,Movie,A StoryBots Space Adventure,2021,13
s73,TV Show,Jack Whitehall: Travels with My Father,2021,5
s74,Movie,King of Boys,2018,182
s75,TV Show,The World's Most Amazing Vacation Rentals,2021,2
s76,Movie,You vs. Wild: Out Cold,2021,106
s77,TV Show,Yowamushi Pedal,2013,1
s78,Movie,Little Singham - Black Shadow,2021,48
s79,Movie,Tughlaq Durbar,2020,145
s80,Movie,Tughlaq Durbar (Telugu),2021,145
s81,Movie,Firedrake the Silver Dragon,2021,93
s82,Movie,Kate,2021,106
s83,TV Show,Lucifer,2021,6
s84,TV Show,Metal Shop Masters,2021,1
s85,Movie,Omo Ghetto: the Saga,2020,147
s86,TV Show,Pokémon Master Journeys: The Series,2021,1
s87,Movie,Prey,2021,87
s88,TV Show,Titipo Titipo,2019,2
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,2021,96
s90,TV Show,Mighty Raju,2017,4
s91,Movie,Paradise Hills,2019,95
s92,Movie,The Women and the Murderer,2021,92
s93,TV Show,Into the Night,2021,2
s94,Movie,JJ+E,2021,91
s95,Movie,Show Dogs,2018,90
s96,TV Show,The Circle,2021,3
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,97
s98,TV Show,Kid Cosmic,2021,2
s99,TV Show,Octonauts: Above & Beyond,2021,1
s100,TV Show,On the Verge,2021,1
s101,TV Show,Tobot Galaxy Detectives,2019,2
s102,Movie,Untold: Breaking Point,2021,80
s103,TV Show,Countdown: Inspiration4 Mission to Space,2021,1
s104,Movie,Shadow Parties,2020,117
s105,TV Show,Tayo the Little Bus,2016,2
s106,Movie,Angamaly Diaries,2017,128
s107,TV Show,Bunk'd,2021,5
s108,Movie,A Champion Heart,2018,90
s109,TV Show,Dive Club,2021,1
s110,TV Show,La casa de papel,2021,5
s111,TV Show,Money Heist: From Tokyo to Berlin,2021,1
s112,TV Show,Sharkdog,2021,1
s113,Movie,Worth,2021,119
s114,Movie,Afterlife of the Party,2021,110
s115,Movie,Anjaam,1994,143
s116,Movie,Bright Star,2009,119
s117,Movie,Dhanak,2015,114
s118,Movie,Final Account,2021,94
s119,Movie,Gurgaon,2017,106
s120,Movie,Here and There,2020,99
s121,TV Show,Heroes of Goo Jit Zu,2021,1
s122,TV Show,Hotel Del Luna,2019,1
s123,Movie,In the Cut,2003,118
s124,TV Show,Luv Kushh,2012,1
s125,TV Show,Pororo - The Little Penguin,2013,3
s126,TV Show,Q-Force,2021,1
s127,Movie,Shikara,2020,115
s128,Movie,A Cinderella Story,2004,95
s129,Movie,Agatha Christie's Crooked House,2017,115
s130,Movie,An Unfinished Life,2005,108
s131,Movie,Barbie Big City Big Dreams,2021,63
s132,Movie,Blade Runner: The Final Cut,1982,117
s133,TV Show,Brave Animated Series,2021,1
s134,Movie,Chappie,2015,121
s135,Movie,Clear and Present Danger,1994,142
s136,Movie,Cliffhanger,1993,113
s137,Movie,Cold Mountain,2003,154
s138,Movie,Crocodile Dundee in Los Angeles,2001,95
s139,Movie,Dear John,2010,108
s140,Movie,Do the Right Thing,1989,120
s141,Movie,"El patrón, radiografía de un crimen",2014,100
s142,Movie,Extraction,2015,82
s143,Movie,Freedom Writers,2007,124
s144,Movie,Green Lantern,2011,114
s145,Movie,House Party,1990,104
s146,Movie,House Party 2,1991,94
s147,Movie,House Party 3,1994,94
s148,TV Show,How to Be a Cowboy,2021,1
s149,TV Show,HQ Barbers,2020,1
s150,Movie,I Got the Hook Up,1998,93
s151,Movie,In Too Deep,1999,97
s152,Movie,Initial D,2005,109
s153,Movie,Janoskians: Untold and Untrue,2016,88
s154,TV Show,Kid-E-Cats,2016,2
s155,TV Show,Kuroko's Basketball,2015,3
s156,Movie,Labyrinth,1986,101
s157,Movie,Letters to Juliet,2010,105
s158,Movie,Level 16,2018,102
s159,Movie,Love Don't Cost a Thing,2003,101
s160,Movie,Love in a Puff,2010,103
s161,TV Show,Major Dad,1992,4
s162,Movie,Mars Attacks!,1996,106
s163,Movie,Marshall,2017,118
s164,Movie,My Boss's Daughter,2003,86
s165,Movie,Mystery Men,1999,121
s166,TV Show,Oldsters,2019,1
s167,Movie,Once Upon a Time in America,1984,229
s168,Movie,Open  2,2008,76
s169,Movie,Osmosis Jones,2001,95
s170,Movie,Poseidon,2006,98
s171,Movie,Rhyme & Reason,1997,89
s172,Movie,Same Kind of Different as Me,2017,120
